521 			amenity 	school 	X 			
521 			FIXME:classify 	isced:level=? "ammattikoulu"=>3, "erityisammattioppilaitos"=>4 				
531 	Korkeakoulurakennukset 	University buildings 	building 	university 		1 	15 	49
531 			building:use 	education 				
531 			amenity 	university 	X 			
531 			isced:level 	5 	X 			
532 	Tutkimuslaitosrakennukset 	Research institute buildings 	FIXME:classify 	building=university? 		5 	38 	31
532 			building:use 	research 				
541 	Järjestöjen, liittojen, työnantajien yms. opetusrakennukset 	Educational buildings of organisations, unions, employers, etc. 	FIXME:classify 	amenity=? 		2 	1 	4
541 			building 	yes 				
541 			building:use 	education 				
549 	Muualla luokittelemattomat opetusrakennukset 	Educational buildings n.e.c. 	FIXM:classify 	building=school? amenity=? 		0 	3 	14
549 			building:use 	education 				
611 	Voimalaitosrakennukset 	Power stations 	FIXME:classify 	power=? building=transformer_tower? 		46 	415 	122
611 			building:use 	utility 				
613 	Yhdyskuntatekniikan rakennukset 	Public utility buildings 	FIXME:classify 	building=utility? 		31 	109 	53
613 			building:use 	utility 				
691 	Teollisuushallit 	Manufacturing plants 	building 	industrial 		69 	65 	130
691 			building:use 	industrial 				
692 	Teollisuus- ja pienteollisuustalot 	Workshops for industry and small-scale industry 	building 	industrial 		175 	112 	144
692 			building:use 	industrial 				
699 	Muut teollisuuden tuotantorakennukset 	Other industrial production buildings 	building 	industrial 		207 	122 	413
699 			building:use 	industrial 				
711 	Teollisuusvarastot 	Industrial warehouses 	building 	warehouse 		136 	113 	172
711 			building:use 	storage 				
712 	Kauppavarastot 	Commercial warehouses 	building 	warehouse 		90 	70 	187
712 			building:use 	storage 				
719 	Muut varastorakennukset 	Other warehouses 	building 	warehouse 		237 	160 	277
719 			building:use 	storage 				
721 	Paloasemat 	Fire stations 	amenity 	fire_station 	X 	6 	15 	8
721 			building 	yes 				
721 			building:use 	civic 				
722 	Väestönsuojat 	Civil defence shelters 	building 	shelter_entrance 		47 	107 	18
721 			building:use 	shelter 				
729 	Muut palo- ja pelastustoimen rakennukset 	Other fire fighting and rescue service buildings 	FIXME:classify 	amenity=fire_station? 		3 	42 	82
729 			building 	yes 				
811 	Navetat, sikalat, kanalat yms. 	Cowsheds, pighouses, hen-houses, etc. 	building 	cowshed 		46 	71 	10
811 			building:use 	agricultural 				
811 			FIXME:classify 	or building=sty? 				
819 	Eläinsuojat, ravihevostallit, maneesit yms. 	Animal shelters, harness horse stables, maneges, etc. 	building 	stable 		16 	39 	22
819 			building:use 	equestrian 				
819 			FIXME:classify 	and leisure=horse_riding? or building=manege;leisure=pitch;sport=equestrian? 				
891 	Viljankuivaamot ja viljan säilytysrakennukset 	Grain drying and storage buildings 	building 	barn 		40 	15 	6
891 			building:use 	agricultural 				
891 			FIXME:classify 	man_made=silo? 				
892 	Kasvihuoneet 	Greenhouses 	building 	greenhouse 		32 	54 	15
892 			building:use 	agricultural 				
893 	Turkistarhat 	Fur farms 	building 	fur_farm 		0 	0 	0
893 			building:use 	agricultural 				
899 	Muut maa-, metsä- ja kalatalouden rakennukset 	Other buildings in agriculture, forestry and fishing 	building 	farm_auxiliary 		145 	178 	28
899 			building:use 	agricultural 				
931 	Saunarakennukset 	Sauna buildings 	leisure 	sauna 		512 	1574 	853
931 			building 	yes 				
931 			building:use 	sauna 				
931 			access 	private 				
941 	Talousrakennukset 	Outbuildings 	building 	yes 		4080 	16071 	4125
999 	Muualla luokittelemattomat rakennukset 	Buildings n.e.c. 	building 	yes 		280 	41 	135
